Time,V,dV/dt
19.2,-2.223423481,-0.015570164
19.3,-2.179826975,0.043596506
19.4,-2.189169168,-0.009342194
19.5,-2.18294096,0.006228209
19.6,-2.095747948,0.087193012
19.7,-2.126888275,-0.031140327
19.8,-2.083291769,0.043596506
19.9,-2.092633963,-0.009342194
20,-2.033467293,0.05916667
20.1,-1.999212742,0.034254551
20.2,-1.996098757,0.003113985
20.3,-1.96495831,0.031140447
20.4,-1.989870667,-0.024912357
20.5,-1.896449447,0.093421221
20.6,-1.936931968,-0.040482521
20.7,-1.821712613,0.115219355
20.8,-1.840396762,-0.018684149
20.9,-1.781230092,0.05916667
21,-1.81237042,-0.031140327
21.1,-1.718949318,0.093421102
21.2,-1.756317735,-0.037368417
21.3,-1.666010618,0.090307117
21.4,-1.637984276,0.028026342
21.5,-1.58815968,0.049824595
21.6,-1.603729844,-0.015570164
21.7,-1.58815968,0.015570164
21.8,-1.550791264,0.037368417
21.9,-1.491624475,0.059166789
22,-1.519650817,-0.028026342
22.1,-1.488510489,0.031140327
22.2,-1.444913864,0.043596625
22.3,-1.423115611,0.021798253
22.4,-1.379519105,0.043596506
22.5,-1.311010242,0.068508863
22.6,-1.367062926,-0.056052685
22.7,-1.363948941,0.003113985
22.8,-1.298554063,0.065394878
22.9,-1.286097884,0.012456179
23,-1.264299631,0.021798253
23.1,-1.236273289,0.028026342
23.2,-1.21758914,0.018684149
23.3,-1.211361051,0.006228089
23.4,-1.152194262,0.059166789
23.5,-1.105483651,0.04671061
23.6,-1.124167919,-0.018684268
23.7,-1.133509994,-0.009342074
23.8,-1.096141577,0.037368417
23.9,-1.083685398,0.012456179
24,-1.024518728,0.05916667
24.1,-1.036974907,-0.012456179
24.2,-1.008948445,0.028026462
24.3,-0.987150252,0.021798193
24.4,-0.965351939,0.021798313
24.5,-0.915527344,0.049824595
24.6,-0.956009865,-0.040482521
24.7,-0.921755433,0.034254432
24.8,-0.912413299,0.009342134
24.9,-0.903071165,0.009342134
25,-0.865702748,0.037368417
25.1,-0.865702748,0
25.2,-0.815878093,0.049824655
25.3,-0.840790391,-0.024912298
25.4,-0.797193885,0.043596506
25.5,-0.79407984,0.003114045
25.6,-0.772281587,0.021798253
25.7,-0.766053498,0.006228089
25.8,-0.756711364,0.009342134
25.9,-0.650834084,0.10587728
26,-0.675746381,-0.024912298
26.1,-0.644605994,0.031140387
26.2,-0.669518292,-0.024912298
26.3,-0.638377905,0.031140387
26.4,-0.591667354,0.046710551
26.5,-0.604123473,-0.012456119
26.6,-0.576097131,0.028026342
26.7,-0.597895384,-0.021798253
26.8,-0.591667354,0.00622803
26.9,-0.58232522,0.009342134
27,-0.544956744,0.037368476
27.1,-0.557412922,-0.012456179
27.2,-0.538728654,0.018684268
27.3,-0.572983086,-0.034254432
27.4,-0.544956744,0.028026342
27.5,-0.492018104,0.05293864
27.6,-0.495132148,-0.003114045
27.7,-0.448421568,0.046710581
27.8,-0.526272535,-0.077850968
27.9,-0.520044446,0.006228089
28,-0.504474223,0.015570223
28.1,-0.498246163,0.00622806
28.2,-0.48267597,0.015570194
28.3,-0.48267597,0
28.4,-0.460877717,0.021798253
28.5,-0.488904059,-0.028026342
28.6,-0.420395195,0.068508863
28.7,-0.445307523,-0.024912328
28.8,-0.451535583,-0.00622806
28.9,-0.457763672,-0.006228089
29,-0.470219821,-0.012456149
29.1,-0.426623285,0.043596536
29.2,-0.42350924,0.003114045
29.3,-0.473333865,-0.049824625
29.4,-0.426623285,0.046710581
29.5,-0.454649627,-0.028026342
29.6,-0.404825002,0.049824625
29.7,-0.442193478,-0.037368476
29.8,-0.404825002,0.037368476
29.9,-0.457763672,-0.05293867
30,-0.435965389,0.021798283
30.1,-0.432851374,0.003114015
30.2,-0.432851374,0
30.3,-0.401710987,0.031140387
30.4,-0.454649627,-0.05293864
30.5,-0.432851374,0.021798253
30.6,-0.439079434,-0.00622806
30.7,-0.414167136,0.024912298
30.8,-0.429737329,-0.015570194
30.9,-0.429737329,0
31,-0.457763672,-0.028026342
31.1,-0.411053091,0.046710581
31.2,-0.383026749,0.028026342
31.3,-0.451535583,-0.068508834
31.4,-0.407939047,0.043596536
31.5,-0.407939047,0
31.6,-0.411053091,-0.003114045
31.7,-0.407939047,0.003114045
31.8,-0.398596942,0.009342104
31.9,-0.392368853,0.006228089
32,-0.401710987,-0.009342134
32.1,-0.435965389,-0.034254402
32.2,-0.3705706,0.065394789
32.3,-0.395482898,-0.024912298
32.4,-0.404825002,-0.009342104
32.5,-0.364342511,0.040482491
32.6,-0.336316168,0.028026342
32.7,-0.348772317,-0.012456149
32.8,-0.386140794,-0.037368476
32.9,-0.389254808,-0.003114015
33,-0.386140794,0.003114015
33.1,-0.37679866,0.009342134
33.2,-0.345658273,0.031140387
33.3,-0.355000407,-0.009342134
33.4,-0.351886362,0.003114045
33.5,-0.336316168,0.015570194
33.6,-0.37679866,-0.040482491
33.7,-0.395482898,-0.018684238
33.8,-0.367456555,0.028026342
33.9,-0.330088079,0.037368476
34,-0.323860019,0.00622806
34.1,-0.326974064,-0.003114045
34.2,-0.314517885,0.012456179
34.3,-0.348772317,-0.034254432
34.4,-0.336316168,0.012456149
34.5,-0.314517885,0.021798283
34.6,-0.286491543,0.028026342
34.7,-0.277149439,0.009342104
34.8,-0.314517885,-0.037368447
34.9,-0.298947692,0.015570194
35,-0.295833677,0.003114015
35.1,-0.305175781,-0.009342104
35.2,-0.283377498,0.021798283
35.3,-0.283377498,0
35.4,-0.283377498,0
35.5,-0.295833677,-0.012456179
35.6,-0.286491543,0.009342134
35.7,-0.298947692,-0.012456149
35.8,-0.295833677,0.003114015
35.9,-0.295833677,0
36,-0.295833677,0
36.1,-0.289605588,0.006228089
36.2,-0.280263484,0.009342104
36.3,-0.286491543,-0.00622806
36.4,-0.280263484,0.00622806
36.5,-0.283377498,-0.003114015
36.6,-0.280263484,0.003114015
36.7,-0.280263484,0
36.8,-0.283377498,-0.003114015
36.9,-0.280263484,0.003114015
37,-0.280263484,0
37.1,-0.280263484,0
