Time,V,dV/dt
0,0,0
0.1,-0.050862629,-0.050862629
0.2,0.152587891,0.20345052
0.3,-0.101725258,-0.254313149
0.4,-0.101725258,0
0.5,0,0.101725258
0.6,0,0
0.7,-0.101725258,-0.101725258
0.8,0.101725258,0.203450516
0.9,0.050862629,-0.050862629
1,0,-0.050862629
1.1,0.050862629,0.050862629
1.2,-0.050862629,-0.101725258
1.3,-0.050862629,0
1.4,0.101725258,0.152587887
1.5,0.101725258,0
1.6,-0.101725258,-0.203450516
1.7,-0.050862629,0.050862629
1.8,0.050862629,0.101725258
1.9,-0.101725258,-0.152587887
2,-0.101725258,0
2.1,0,0.101725258
2.2,0,0
2.3,0,0
2.4,0,0
2.5,-0.050862629,-0.050862629
2.6,0,0.050862629
2.7,-0.101725258,-0.101725258
2.8,0,0.101725258
2.9,-0.152587891,-0.152587891
3,0,0.152587891
3.1,0.050862629,0.050862629
3.2,-0.050862629,-0.101725258
3.3,-0.050862629,0
3.4,-0.050862629,0
3.5,-0.101725258,-0.050862629
3.6,0.101725258,0.203450516
3.7,0.050862629,-0.050862629
3.8,0,-0.050862629
3.9,-0.101725258,-0.101725258
4,0,0.101725258
4.1,0,0
4.2,0,0
4.3,0,0
4.4,0.101725258,0.101725258
4.5,0,-0.101725258
4.6,-0.101725258,-0.101725258
4.7,-0.050862629,0.050862629
4.8,0.050862629,0.101725258
4.9,0.050862629,0
5,-0.050862629,-0.101725258
5.1,0.152587891,0.20345052
5.2,-0.050862629,-0.20345052
5.3,0.050862629,0.101725258
5.4,0.050862629,0
5.5,0,-0.050862629
5.6,0.101725258,0.101725258
5.7,0.203450516,0.101725258
5.8,0.101725258,-0.101725258
5.9,0.101725258,0
6,0,-0.101725258
6.1,0.254313141,0.254313141
6.2,0.101725258,-0.152587883
6.3,0.203450516,0.101725258
6.4,0.152587891,-0.050862625
6.5,0.356038421,0.203450531
6.6,0.406901032,0.05086261
6.7,0.610351563,0.203450531
6.8,0.813802063,0.203450501
6.9,1.118977904,0.305175841
7,1.424153686,0.305175781
7.1,1.627604127,0.203450441
7.2,2.034505129,0.406901002
7.3,2.54313159,0.508626461
7.4,3.102620363,0.559488773
7.5,3.865559816,0.762939453
7.6,4.374186039,0.508626223
7.7,5.035400391,0.661214352
7.8,5.798339844,0.762939453
7.9,6.256103516,0.457763672
8,7.019042969,0.762939453
8.1,7.832845211,0.813802242
8.2,8.595784187,0.762938976
8.3,9.511311531,0.915527344
8.4,10.27425098,0.762939453
8.5,11.18977833,0.915527344
8.6,12.15616894,0.96639061
8.7,13.02083302,0.864664078
8.8,13.88549805,0.864665031
8.9,14.75016308,0.864665031
9,15.76741505,1.017251968
9.1,16.53035545,0.762940407
9.2,17.49674416,0.966388702
9.3,18.31054688,0.813802719
9.4,19.27693748,0.96639061
9.5,20.24332619,0.966388702
9.6,21.00626564,0.762939453
9.7,21.87093163,0.864665985
9.8,22.63387108,0.762939453
9.9,23.49853516,0.864664078
10,24.05802345,0.559488297
10.1,24.87182617,0.813802719
10.2,25.43131447,0.559488297
10.3,26.0925293,0.661214828
10.4,26.75374413,0.661214828
10.5,27.16064453,0.406900406
10.6,27.56754494,0.406900406
10.7,28.33048439,0.762939453
10.8,28.53393555,0.203451157
10.9,29.14428711,0.610351563
11,29.55118752,0.406900406
11.1,29.8563633,0.305175781
11.2,30.05981445,0.203451157
11.3,30.4158535,0.356039047
11.4,30.77189064,0.35603714
11.5,31.02620506,0.254314423
11.6,31.12792969,0.101724625
11.7,31.43310547,0.305175781
11.8,31.53483009,0.101724625
11.9,31.78914452,0.254314423
12,32.14518356,0.356039047
12.1,32.14518356,0
12.2,32.24690628,0.101722717
12.3,32.55208206,0.305175781
12.4,32.55208206,0
12.5,32.60294724,0.050865173
12.6,32.70466995,0.101722717
12.7,32.90812302,0.203453064
12.8,33.00984573,0.101722717
