Time,V,dV/dt
0,0,0
0.1,-0.036621094,-0.036621094
0.2,-0.042724609,-0.006103516
0.3,-0.030517578,0.012207031
0.4,0.042724609,0.073242188
0.5,-0.006103516,-0.048828125
0.6,-0.006103516,0
0.7,0.012207031,0.018310547
0.8,0.012207031,0
0.9,0.030517578,0.018310547
1,0.115966797,0.085449219
1.1,0.079345703,-0.036621094
1.2,0.256347656,0.177001953
1.3,0.335693359,0.079345703
1.4,0.518798828,0.183105469
1.5,0.531005859,0.012207031
1.6,0.5859375,0.054931641
1.7,0.640869141,0.054931641
1.8,0.799560547,0.158691406
1.9,0.793457031,-0.006103516
2,0.897216797,0.103759766
2.1,0.927734375,0.030517578
2.2,1.086425781,0.158691406
2.3,1.123046875,0.036621094
2.4,1.177978516,0.054931641
2.5,1.257324219,0.079345703
2.6,1.300048828,0.042724609
2.7,1.391601563,0.091552734
2.8,1.409912109,0.018310547
2.9,1.470947266,0.061035156
3,1.525878906,0.054931641
3.1,1.495361328,-0.030517578
3.2,1.568603516,0.073242188
3.3,1.647949219,0.079345703
3.4,1.696777344,0.048828125
3.5,1.727294922,0.030517578
3.6,1.678466797,-0.048828125
3.7,1.733398438,0.054931641
3.8,1.739501953,0.006103516
3.9,1.751708984,0.012207031
4,1.800537109,0.048828125
4.1,1.818847656,0.018310547
4.2,1.800537109,-0.018310547
4.3,1.818847656,0.018310547
4.4,1.800537109,-0.018310547
4.5,1.873779297,0.073242188
4.6,1.831054688,-0.042724609
4.7,1.837158203,0.006103516
4.8,1.837158203,0
4.9,1.85546875,0.018310547
5,1.837158203,-0.018310547
5.1,1.892089844,0.054931641
5.2,1.849365234,-0.042724609
5.3,1.916503906,0.067138672
5.4,1.934814453,0.018310547
5.5,1.904296875,-0.030517578
5.6,1.916503906,0.012207031
5.7,1.910400391,-0.006103516
5.8,1.934814453,0.024414063
5.9,1.989746094,0.054931641
6,1.989746094,0
6.1,1.959228516,-0.030517578
6.2,1.977539063,0.018310547
6.3,1.965332031,-0.012207031
6.4,1.983642578,0.018310547
6.5,2.062988281,0.079345703
6.6,2.001953125,-0.061035156
6.7,2.008056641,0.006103516
6.8,1.971435547,-0.036621094
6.9,2.001953125,0.030517578
7,1.965332031,-0.036621094
7.1,2.075195313,0.109863281
7.2,2.038574219,-0.036621094
7.3,2.087402344,0.048828125
7.4,2.008056641,-0.079345703
7.5,2.087402344,0.079345703
7.6,2.044677734,-0.042724609
7.7,2.124023438,0.079345703
7.8,2.136230469,0.012207031
7.9,2.093505859,-0.042724609
8,2.111816406,0.018310547
8.1,2.136230469,0.024414063
8.2,2.099609375,-0.036621094
8.3,2.160644531,0.061035156
8.4,2.203369141,0.042724609
8.5,2.233886719,0.030517578
8.6,2.203369141,-0.030517578
8.7,2.264404297,0.061035156
8.8,2.258300781,-0.006103516
8.9,2.331542969,0.073242188
9,2.374267578,0.042724609
9.1,2.362060547,-0.012207031
9.2,2.453613281,0.091552734
9.3,2.502441406,0.048828125
9.4,2.606201172,0.103759766
9.5,2.673339844,0.067138672
9.6,2.728271484,0.054931641
9.7,2.825927734,0.09765625
9.8,2.941894531,0.115966797
9.9,2.825927734,-0.115966797
10,3.22265625,0.396728516
10.1,3.369140625,0.146484375
10.2,3.454589844,0.085449219
10.3,3.460693359,0.006103516
10.4,3.61328125,0.152587891
10.5,3.631591797,0.018310547
10.6,3.814697266,0.183105469
10.7,3.820800781,0.006103516
10.8,3.948974609,0.128173828
10.9,4.016113281,0.067138672
11,4.113769531,0.09765625
11.1,4.107666016,-0.006103516
11.2,4.205322266,0.09765625
11.3,4.193115234,-0.012207031
11.4,4.290771484,0.09765625
11.5,4.333496094,0.042724609
11.6,4.302978516,-0.030517578
11.7,4.351806641,0.048828125
11.8,4.351806641,0
11.9,4.266357422,-0.085449219
12,4.309082031,0.042724609
12.1,4.187011719,-0.122070313
12.2,4.266357422,0.079345703
12.3,4.162597656,-0.103759766
12.4,4.168701172,0.006103516
12.5,4.083251953,-0.085449219
12.6,4.052734375,-0.030517578
12.7,3.948974609,-0.103759766
12.8,3.875732422,-0.073242188
12.9,3.845214844,-0.030517578
13,3.771972656,-0.073242188
13.1,3.686523438,-0.085449219
13.2,3.607177734,-0.079345703
13.3,3.509521484,-0.09765625
13.4,3.356933594,-0.152587891
13.5,3.314208984,-0.042724609
13.6,3.167724609,-0.146484375
13.7,3.088378906,-0.079345703
13.8,3.015136719,-0.073242188
13.9,2.844238281,-0.170898438
14,2.770996094,-0.073242188
14.1,2.661132813,-0.109863281
14.2,2.545166016,-0.115966797
14.3,2.392578125,-0.152587891
14.4,2.288818359,-0.103759766
14.5,2.239990234,-0.048828125
14.6,2.032470703,-0.207519531
14.7,1.953125,-0.079345703
14.8,1.837158203,-0.115966797
14.9,1.751708984,-0.085449219
15,1.593017578,-0.158691406
15.1,1.586914063,-0.006103516
15.2,1.403808594,-0.183105469
15.3,1.330566406,-0.073242188
15.4,1.177978516,-0.152587891
15.5,1.043701172,-0.134277344
15.6,0.909423828,-0.134277344
15.7,0.836181641,-0.073242188
15.8,0.671386719,-0.164794922
15.9,0.665283203,-0.006103516
16,0.561523438,-0.103759766
16.1,0.445556641,-0.115966797
16.2,0.329589844,-0.115966797
16.3,0.317382813,-0.012207031
16.4,0.207519531,-0.109863281
16.5,0.183105469,-0.024414063
16.6,0.109863281,-0.073242188
16.7,0.128173828,0.018310547
16.8,0.030517578,-0.09765625
16.9,0,-0.030517578
17,-0.073242188,-0.073242188
17.1,-0.091552734,-0.018310547
17.2,-0.122070313,-0.030517578
17.3,-0.085449219,0.036621094
17.4,-0.164794922,-0.079345703
17.5,-0.177001953,-0.012207031
17.6,-0.286865234,-0.109863281
17.7,-0.225830078,0.061035156
17.8,-0.244140625,-0.018310547
17.9,-0.250244141,-0.006103516
18,-0.299072266,-0.048828125
18.1,-0.286865234,0.012207031
18.2,-0.286865234,0
18.3,-0.305175781,-0.018310547
18.4,-0.286865234,0.018310547
18.5,-0.299072266,-0.012207031
18.6,-0.268554688,0.030517578
18.7,-0.268554688,0
18.8,-0.201416016,0.067138672
18.9,-0.183105469,0.018310547
19,-0.231933594,-0.048828125
19.1,-0.170898438,0.061035156
19.2,-0.207519531,-0.036621094
19.3,-0.09765625,0.109863281
19.4,-0.189208984,-0.091552734
19.5,-0.134277344,0.054931641
19.6,-0.140380859,-0.006103516
19.7,-0.085449219,0.054931641
19.8,-0.054931641,0.030517578
19.9,-0.079345703,-0.024414063
20,0.042724609,0.122070313
20.1,-0.048828125,-0.091552734
20.2,-0.054931641,-0.006103516
20.3,-0.054931641,0
20.4,-0.048828125,0.006103516
20.5,-0.030517578,0.018310547
20.6,0,0.030517578
20.7,0.048828125,0.048828125
20.8,0.079345703,0.030517578
20.9,0.122070313,0.042724609
21,0.158691406,0.036621094
21.1,0.158691406,0
21.2,0.170898438,0.012207031
