Time,V,dV/dt
0,0,0
0.1,0,0
0.2,0.057220459,0.057220459
0.3,0.095367432,0.038146973
0.4,0.095367432,0
0.5,0.076293945,-0.019073486
0.6,0.076293945,0
0.7,0.038146973,-0.038146973
0.8,0,-0.038146973
0.9,0,0
1,0.057220459,0.057220459
1.1,0.076293945,0.019073486
1.2,0.095367432,0.019073486
1.3,0.057220459,-0.038146973
1.4,0.114440918,0.057220459
1.5,0.076293945,-0.038146973
1.6,0.019073486,-0.057220459
1.7,0.057220459,0.038146973
1.8,0.114440918,0.057220459
1.9,0.019073486,-0.095367432
2,0.076293945,0.057220459
2.1,0.152587891,0.076293945
2.2,0.095367432,-0.057220459
2.3,0.095367432,0
2.4,0.133514404,0.038146973
2.5,0.076293945,-0.057220459
2.6,0.076293945,0
2.7,0.076293945,0
2.8,0.095367432,0.019073486
2.9,0.152587891,0.057220459
3,0.171661377,0.019073486
3.1,0.133514404,-0.038146973
3.2,0.247955322,0.114440918
3.3,0.20980835,-0.038146973
3.4,0.305175781,0.095367432
3.5,0.324249268,0.019073486
3.6,0.400543213,0.076293945
3.7,0.476837158,0.076293945
3.8,0.591278076,0.114440918
3.9,0.72479248,0.133514404
4,0.705718994,-0.019073486
4.1,0.991821289,0.286102295
4.2,1.106262207,0.114440918
4.3,1.182556152,0.076293945
4.4,1.468658447,0.286102295
4.5,1.850128174,0.381469727
4.6,2.098083496,0.247955322
4.7,2.460479736,0.36239624
4.8,2.784729004,0.324249268
4.9,3.242492676,0.457763672
5,3.662109375,0.419616699
5.1,4.15802002,0.495910645
5.2,4.653930664,0.495910645
5.3,5.24520874,0.591278076
5.4,5.855560303,0.610351563
5.5,6.408691406,0.553131104
5.6,6.923675537,0.514984131
5.7,7.667541504,0.743865967
5.8,8.373260498,0.705718994
5.9,9.059906006,0.686645508
6,9.880065918,0.820159912
6.1,10.56671143,0.686645508
6.2,11.50131226,0.93460083
6.3,12.24517822,0.743865967
6.4,13.10348511,0.858306885
6.5,13.99993896,0.896453857
6.6,14.6484375,0.648498535
6.7,15.44952393,0.801086426
6.8,16.21246338,0.762939453
6.9,17.0135498,0.801086426
7,18.04351807,1.029968262
7.1,18.80645752,0.762939453
7.2,19.64569092,0.839233398
7.3,20.33233643,0.686645508
7.4,21.01898193,0.686645508
7.5,21.70562744,0.686645508
7.6,22.35412598,0.648498535
7.7,22.98355103,0.629425049
7.8,23.65112305,0.667572021
7.9,24.16610718,0.514984131
8,24.68109131,0.514984131
8.1,25.21514893,0.534057617
8.2,25.63476563,0.419616699
8.3,26.13067627,0.495910645
8.4,26.512146,0.381469727
8.5,26.89361572,0.381469727
8.6,27.27508545,0.381469727
8.7,27.63748169,0.36239624
8.8,28.0380249,0.400543213
8.9,28.24783325,0.20980835
9,28.59115601,0.343322754
9.1,28.82003784,0.228881836
9.2,29.04891968,0.228881836
9.3,29.31594849,0.267028809
9.4,29.54483032,0.228881836
9.5,29.73556519,0.190734863
9.6,29.92630005,0.190734863
9.7,30.1361084,0.20980835
9.8,30.23147583,0.095367432
9.9,30.44128418,0.20980835
10,30.67016602,0.228881836
10.1,30.72738647,0.057220459
10.2,31.01348877,0.286102295
10.3,31.1088562,0.095367432
10.4,31.20422363,0.095367432
10.5,31.31866455,0.114440918
10.6,31.50939941,0.190734863
10.7,31.54754639,0.038146973
10.8,31.71920776,0.171661377
10.9,31.85272217,0.133514404
11,31.96716309,0.114440918
11.1,31.98623657,0.019073486
11.2,32.081604,0.095367432
11.3,32.27233887,0.190734863
11.4,32.29141235,0.019073486
11.5,32.46307373,0.171661377
11.6,32.44400024,-0.019073486
11.7,32.63473511,0.190734863
11.8,32.67288208,0.038146973
11.9,32.787323,0.114440918
12,32.84454346,0.057220459
12.1,32.9208374,0.076293945
12.2,33.05435181,0.133514404
12.3,33.14971924,0.095367432
12.4,33.13064575,-0.019073486
12.5,33.2069397,0.076293945
12.6,33.2069397,0
12.7,33.37860107,0.171661377
12.8,33.43582153,0.057220459
12.9,33.41674805,-0.019073486
13,33.45489502,0.038146973
13.1,33.51211548,0.057220459
13.2,33.6265564,0.114440918
13.3,33.56933594,-0.057220459
13.4,33.60748291,0.038146973
13.5,33.68377686,0.076293945
13.6,33.74099731,0.057220459
13.7,33.70285034,-0.038146973
13.8,33.72192383,0.019073486
13.9,33.81729126,0.095367432
14,33.87451172,0.057220459
14.1,33.81729126,-0.057220459
14.2,33.83636475,0.019073486
14.3,33.87451172,0.038146973
14.4,33.85543823,-0.019073486
14.5,33.87451172,0.019073486
14.6,33.93173218,0.057220459
14.7,33.91265869,-0.019073486
14.8,33.95080566,0.038146973
14.9,34.02709961,0.076293945
15,34.08432007,0.057220459
15.1,34.06524658,-0.019073486
15.2,34.06524658,0
15.3,34.12246704,0.057220459
15.4,34.0461731,-0.076293945
15.5,34.1796875,0.133514404
15.6,34.14154053,-0.038146973
15.7,34.19876099,0.057220459
15.8,34.16061401,-0.038146973
15.9,34.1796875,0.019073486
16,34.19876099,0.019073486
16.1,34.3132019,0.114440918
16.2,34.23690796,-0.076293945
16.3,34.27505493,0.038146973
16.4,34.21783447,-0.057220459
16.5,34.27505493,0.057220459
16.6,34.25598145,-0.019073486
16.7,34.19876099,-0.057220459
16.8,34.33227539,0.133514404
16.9,34.25598145,-0.076293945
17,34.16061401,-0.095367432
17.1,34.19876099,0.038146973
17.2,34.16061401,-0.038146973
17.3,34.10339355,-0.057220459
17.4,34.16061401,0.057220459
17.5,34.10339355,-0.057220459
17.6,34.06524658,-0.038146973
17.7,33.95080566,-0.114440918
17.8,33.95080566,0
