Time,V,dV/dt
0,0,0
0.100000001,0.02086672,0.02086672
0.200000003,0.00260834,-0.01825838
0.300000012,0.03651676,0.03390842
0.400000006,-0.01565004,-0.052166799
0.5,0,0.01565004
0.600000024,-0.00260834,-0.00260834
0.699999988,0.0391251,0.04173344
0.800000012,0.00782502,-0.03130008
0.899999976,0.0260834,0.018258381
1,-0.01825838,-0.04434178
1.100000024,0.00521668,0.02347506
1.200000048,0.01043336,0.00521668
1.299999952,0.03651676,0.0260834
1.399999976,0.033908419,-0.00260834
1.5,0.057383481,0.023475062
1.600000024,0.052166801,-0.00521668
1.700000048,0.049558461,-0.00260834
1.799999952,0.052166801,0.00260834
1.899999976,0.049558461,-0.00260834
2,0.075641863,0.026083402
2.099999905,0.054775141,-0.020866722
2.200000048,0.062600158,0.007825017
2.299999952,0.08346688,0.020866722
2.400000095,0.033908419,-0.049558461
2.5,0.057383481,0.023475062
2.599999905,0.080858544,0.023475062
2.700000048,0.08868356,0.007825017
2.799999952,0.070425183,-0.018258378
2.900000095,0.075641863,0.00521668
3,0.119983643,0.04434178
3.099999905,0.057383481,-0.062600162
3.200000048,0.143458694,0.086075213
3.299999952,0.03651676,-0.106941935
3.400000095,0.130417004,0.093900245
3.5,0.091291897,-0.039125107
3.599999905,0.12259198,0.031300083
3.700000048,0.104333602,-0.018258378
3.799999952,0.138242021,0.033908419
3.900000095,0.059991822,-0.0782502
4,0.096508577,0.036516756
4.099999905,0.114766963,0.018258385
4.199999809,0.101725258,-0.013041705
4.300000191,0.153892055,0.052166797
4.400000095,0.143458694,-0.010433361
4.5,0.104333602,-0.039125092
4.599999905,0.153892055,0.049558453
4.699999809,0.112158619,-0.041733436
4.800000191,0.174758777,0.062600158
4.900000095,0.12259198,-0.052166797
5,0.156500399,0.033908419
5.099999905,0.185192138,0.028691739
5.199999809,0.143458694,-0.041733444
5.300000191,0.130417004,-0.01304169
5.400000095,0.164325416,0.033908412
5.5,0.185192138,0.020866722
5.599999905,0.179975465,-0.005216673
5.699999809,0.16693376,-0.013041705
5.800000191,0.216492221,0.049558461
5.900000095,0.211275548,-0.005216673
6,0.250400633,0.039125085
6.099999905,0.221708894,-0.028691739
6.199999809,0.203450516,-0.018258378
6.300000191,0.232142255,0.028691739
6.400000095,0.263442338,0.031300083
6.5,0.239967287,-0.023475051
6.599999905,0.247792304,0.007825017
6.699999809,0.247792304,0
6.800000191,0.266050667,0.018258363
6.900000095,0.268659025,0.002608359
7,0.279092371,0.010433346
7.099999905,0.310392469,0.031300098
7.199999809,0.339084208,0.028691739
7.300000191,0.318217486,-0.020866722
7.400000095,0.352125913,0.033908427
7.5,0.354734242,0.002608329
7.599999905,0.388642669,0.033908427
7.699999809,0.367775947,-0.020866722
7.800000191,0.425159425,0.057383478
7.900000095,0.419942737,-0.005216688
8,0.440809458,0.020866722
8.100000381,0.495584607,0.054775149
8.199999809,0.479934573,-0.015650034
8.300000191,0.552968085,0.073033512
8.399999619,0.576443136,0.023475051
8.5,0.631218255,0.054775119
8.600000381,0.657301664,0.02608341
8.699999809,0.725118518,0.067816854
8.800000191,0.819018781,0.093900263
